Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2015-01-01,626.5,634.7999877929688,626.5,628.4000244140625,581.4344482421875,596787.0,CIPLA
2015-01-02,633.0,637.5499877929688,629.3499755859375,630.1500244140625,583.0535888671875,688999.0,CIPLA
2015-01-05,626.0,638.0,626.0,633.0,585.6906127929688,1282895.0,CIPLA
2015-01-06,631.0,632.0,610.5,614.3499755859375,568.4343872070312,1615490.0,CIPLA
2015-01-07,614.3499755859375,617.7999877929688,604.5,611.9500122070312,566.2138061523438,813936.0,CIPLA
2015-01-08,615.0,621.5,612.0,618.2000122070312,571.9967041015625,1273014.0,CIPLA
2015-01-09,624.0,641.5,621.0,632.3499755859375,585.089111328125,2151608.0,CIPLA
2015-01-12,630.9000244140625,637.0,625.9500122070312,630.75,583.6087036132812,1094136.0,CIPLA
2015-01-13,631.0,645.2999877929688,628.2000122070312,636.4000244140625,588.8366088867188,1261489.0,CIPLA
2015-01-14,638.7999877929688,641.8499755859375,629.0499877929688,631.4000244140625,584.210205078125,1033679.0,CIPLA
2015-01-15,638.9000244140625,640.0,632.5999755859375,638.0499877929688,590.363037109375,1229115.0,CIPLA
2015-01-16,641.7000122070312,650.0,639.0,647.3499755859375,598.9680786132812,1245788.0,CIPLA
2015-01-19,652.0,661.5499877929688,649.0,657.7999877929688,608.6370239257812,1536486.0,CIPLA
2015-01-20,661.9500122070312,666.4500122070312,657.3499755859375,661.7999877929688,612.338134765625,1537603.0,CIPLA
2015-01-21,663.0,663.8499755859375,641.0,643.4500122070312,595.3596801757812,1541897.0,CIPLA
2015-01-22,643.5,657.2000122070312,641.3499755859375,654.7999877929688,605.8612670898438,1642285.0,CIPLA
2015-01-23,659.9000244140625,686.5,654.5999755859375,677.6500244140625,627.0034790039062,2255956.0,CIPLA
2015-01-27,687.0,710.0,683.0,707.0499877929688,654.2062377929688,2067849.0,CIPLA
2015-01-28,706.9000244140625,707.0,692.5499877929688,703.5499877929688,650.9677734375,1379608.0,CIPLA
2015-01-29,699.9500122070312,711.9000244140625,686.5,697.4500122070312,645.32373046875,2245977.0,CIPLA
2015-01-30,699.0,702.7999877929688,691.2000122070312,695.75,643.7506713867188,1061983.0,CIPLA
2015-02-02,698.0,706.5,691.25,695.5,643.5193481445312,878717.0,CIPLA
2015-02-03,695.1500244140625,699.75,672.0499877929688,677.4000244140625,626.772216796875,772717.0,CIPLA
2015-02-04,680.4000244140625,688.0,666.5999755859375,678.0,627.3274536132812,1326140.0,CIPLA
2015-02-05,676.5499877929688,676.5499877929688,657.25,662.4000244140625,612.8932495117188,913021.0,CIPLA
2015-02-06,672.0,682.7000122070312,645.6500244140625,655.0499877929688,606.092529296875,1572398.0,CIPLA
2015-02-09,650.0,656.0,626.25,629.6500244140625,582.591064453125,1213162.0,CIPLA
2015-02-10,630.0,642.7999877929688,623.4500122070312,640.1500244140625,592.3062133789062,1834808.0,CIPLA
2015-02-11,640.1500244140625,640.7999877929688,631.0499877929688,636.4500122070312,588.8828125,1671824.0,CIPLA
2015-02-12,641.0,665.5499877929688,633.0499877929688,660.6500244140625,611.2739868164062,4022095.0,CIPLA
2015-02-13,661.0,701.8499755859375,659.0,667.25,617.3807373046875,6373168.0,CIPLA
2015-02-16,670.2999877929688,678.9000244140625,668.0,671.5499877929688,621.359375,1056625.0,CIPLA
2015-02-18,672.7000122070312,684.0,667.5499877929688,677.6500244140625,627.0034790039062,975390.0,CIPLA
2015-02-19,683.0,692.0,672.0999755859375,682.4500122070312,631.4447631835938,1803177.0,CIPLA
2015-02-20,686.2000122070312,690.0,673.5499877929688,675.9500122070312,625.4306030273438,1323954.0,CIPLA
2015-02-23,678.0,684.3499755859375,666.0,669.1500244140625,619.1387329101562,1030305.0,CIPLA
2015-02-24,673.0,679.5999755859375,670.0,677.2999877929688,626.6796875,745543.0,CIPLA
2015-02-25,679.5499877929688,685.2000122070312,671.4500122070312,676.3499755859375,625.8007202148438,865007.0,CIPLA
2015-02-26,680.5,682.4500122070312,656.1500244140625,659.4500122070312,610.163818359375,1754632.0,CIPLA
2015-02-27,662.4000244140625,677.0,655.4000244140625,669.8499755859375,619.786376953125,1632882.0,CIPLA
2015-03-02,683.5499877929688,725.0,681.3499755859375,716.9500122070312,663.3663940429688,2226858.0,CIPLA
2015-03-03,720.0,738.7000122070312,715.0999755859375,731.9000244140625,677.1988525390625,2346080.0,CIPLA
2015-03-04,736.0,747.5,722.0,727.0499877929688,672.71142578125,1975785.0,CIPLA
2015-03-05,730.0,746.4000244140625,725.0,739.5,684.23095703125,1863532.0,CIPLA
2015-03-09,739.5,742.5,730.0499877929688,734.2000122070312,679.3270874023438,886869.0,CIPLA
2015-03-10,740.0,752.8499755859375,725.0,729.4500122070312,674.9320678710938,2224099.0,CIPLA
