Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2015-01-01,91.9800033569336,92.87999725341797,91.5999984741211,92.05999755859375,79.93538665771484,103120.0,VTL
2015-01-02,92.5199966430664,92.61000061035156,91.73999786376953,92.26000213623047,80.10905456542969,94450.0,VTL
2015-01-05,92.26000213623047,93.02999877929688,91.5999984741211,92.61000061035156,80.41297149658203,68970.0,VTL
2015-01-06,92.0,92.5999984741211,90.37000274658203,91.97000122070312,79.85726928710938,257830.0,VTL
2015-01-07,91.0,92.19000244140625,90.20999908447266,92.01000213623047,79.8919906616211,105390.0,VTL
2015-01-08,92.04000091552734,93.7699966430664,91.47000122070312,93.44000244140625,81.1336669921875,169825.0,VTL
2015-01-09,92.5999984741211,94.4000015258789,92.12999725341797,93.52999877929688,81.2117919921875,124590.0,VTL
2015-01-12,94.69999694824219,96.4000015258789,93.41000366210938,95.91000366210938,83.27835845947266,175535.0,VTL
2015-01-13,96.80000305175781,96.80000305175781,94.58000183105469,95.0,82.48818969726562,148390.0,VTL
2015-01-14,95.0,95.6500015258789,93.9000015258789,93.98999786376953,81.6112060546875,137590.0,VTL
2015-01-15,93.5199966430664,95.01000213623047,92.58000183105469,94.2300033569336,81.8196029663086,250850.0,VTL
2015-01-16,93.0,94.98999786376953,92.69999694824219,93.62000274658203,81.28994750976562,22300.0,VTL
2015-01-19,90.5999984741211,93.4000015258789,90.19999694824219,91.70999908447266,79.6314926147461,62155.0,VTL
2015-01-20,90.4000015258789,93.0,90.4000015258789,92.0,79.88330078125,130610.0,VTL
2015-01-21,91.22000122070312,93.9800033569336,91.22000122070312,93.1500015258789,80.88184356689453,67890.0,VTL
2015-01-22,93.80000305175781,95.66999816894531,93.3499984741211,94.66999816894531,82.20165252685547,85810.0,VTL
2015-01-23,94.0,95.66999816894531,92.55999755859375,94.9800033569336,82.47083282470703,195580.0,VTL
2015-01-27,94.0,94.80000305175781,86.19999694824219,89.83000183105469,77.99909973144531,158860.0,VTL
2015-01-28,89.30000305175781,89.37999725341797,85.73999786376953,87.01000213623047,75.55049896240234,1239210.0,VTL
2015-01-29,87.02999877929688,87.02999877929688,84.80999755859375,86.11000061035156,74.76901245117188,70740.0,VTL
2015-01-30,85.19999694824219,88.80000305175781,85.19999694824219,87.87000274658203,76.29722595214844,58905.0,VTL
2015-02-02,88.97000122070312,89.5999984741211,87.95999908447266,89.47000122070312,77.68651580810547,35580.0,VTL
2015-02-03,90.0,91.48999786376953,88.52999877929688,90.8499984741211,78.88477325439453,929375.0,VTL
2015-02-04,91.0,92.80000305175781,90.12000274658203,92.02999877929688,79.90934753417969,98580.0,VTL
2015-02-05,92.56999969482422,93.58000183105469,91.41999816894531,92.0199966430664,79.90066528320312,97265.0,VTL
2015-02-06,89.0,89.0,85.08000183105469,87.43000030517578,75.91519165039062,182065.0,VTL
2015-02-09,88.0,92.19000244140625,86.19999694824219,91.69000244140625,79.6141357421875,194860.0,VTL
2015-02-10,92.38999938964844,92.5999984741211,88.47000122070312,92.44000244140625,80.26535034179688,117670.0,VTL
2015-02-11,92.80000305175781,93.91999816894531,90.19999694824219,93.47000122070312,81.15970611572266,100905.0,VTL
2015-02-12,93.5999984741211,94.4000015258789,92.19999694824219,93.26000213623047,80.97736358642578,47220.0,VTL
2015-02-13,94.4000015258789,94.4000015258789,92.97000122070312,93.87000274658203,81.50701904296875,57305.0,VTL
2015-02-16,94.5,94.69999694824219,93.25,94.4800033569336,82.03668212890625,54900.0,VTL
2015-02-18,93.12999725341797,95.9800033569336,93.12999725341797,95.30000305175781,82.74869537353516,80140.0,VTL
2015-02-19,94.2300033569336,97.95999908447266,94.2300033569336,96.45999908447266,83.75590515136719,193645.0,VTL
2015-02-20,96.45999908447266,101.77999877929688,96.16000366210938,99.22000122070312,86.15241241455078,231590.0,VTL
2015-02-23,98.0,100.4000015258789,98.0,98.33999633789062,85.3883056640625,259375.0,VTL
2015-02-24,98.02999877929688,103.16999816894531,97.0,100.27999877929688,87.07279968261719,746700.0,VTL
2015-02-25,99.19999694824219,102.77999877929688,98.98999786376953,100.08999633789062,86.90780639648438,105280.0,VTL
2015-02-26,100.7699966430664,101.41999816894531,99.5,100.08999633789062,86.90780639648438,121980.0,VTL
2015-02-27,100.5999984741211,104.44999694824219,100.33000183105469,103.23999786376953,89.64295196533203,291465.0,VTL
2015-03-02,102.0,102.4000015258789,98.79000091552734,100.05000305175781,86.87310791015625,74710.0,VTL
2015-03-03,100.4000015258789,103.58999633789062,100.4000015258789,102.20999908447266,88.74860382080078,111680.0,VTL
