Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2015-01-01,11681.0,12400.0,11681.0,12334.400390625,10947.6748046875,13023.0,PAGEIND
2015-01-02,12351.0,12539.0,12350.0,12419.650390625,11023.34375,13252.0,PAGEIND
2015-01-05,12400.0,12400.0,11920.0,12080.75,10722.54296875,9319.0,PAGEIND
2015-01-06,12100.0,12239.650390625,11550.0,11639.849609375,10331.208984375,11751.0,PAGEIND
2015-01-07,11639.0,11639.849609375,11352.0,11388.599609375,10108.2109375,9301.0,PAGEIND
2015-01-08,11650.0,11650.0,11000.0,11194.150390625,9935.6181640625,16214.0,PAGEIND
2015-01-09,11205.25,11445.0,10951.0,11031.25,9791.0341796875,11018.0,PAGEIND
2015-01-12,11139.650390625,11198.0,10870.0,10974.400390625,9740.57421875,11566.0,PAGEIND
2015-01-13,10975.0,11319.9501953125,10850.0,10870.5498046875,9648.400390625,10684.0,PAGEIND
2015-01-14,10852.25,11100.0,10680.0,10839.5,9620.8447265625,12513.0,PAGEIND
2015-01-15,10816.0,11000.0,10760.5,10909.650390625,9683.1064453125,10458.0,PAGEIND
2015-01-16,10855.099609375,11735.0,10855.099609375,11646.4501953125,10337.0712890625,21135.0,PAGEIND
2015-01-19,11634.4501953125,12000.0,11630.0,11782.150390625,10457.5146484375,11554.0,PAGEIND
2015-01-20,11732.25,11887.0,11510.25,11615.5498046875,10309.642578125,9930.0,PAGEIND
2015-01-21,11581.0,11880.0,11581.0,11712.5498046875,10395.736328125,9031.0,PAGEIND
2015-01-22,11660.25,11840.0,11660.25,11783.349609375,10458.5791015625,10286.0,PAGEIND
2015-01-23,11829.650390625,11946.0,11723.9501953125,11893.599609375,10556.4306640625,13519.0,PAGEIND
2015-01-27,11900.0498046875,12006.0,11675.0,11875.0,10539.923828125,15429.0,PAGEIND
2015-01-28,11918.2998046875,12000.0,11659.9501953125,11869.599609375,10535.1328125,7944.0,PAGEIND
2015-01-29,11890.0,11911.0,11575.0,11653.400390625,10343.23828125,6202.0,PAGEIND
2015-01-30,11680.0,11878.650390625,11653.0,11794.9501953125,10468.8798828125,4918.0,PAGEIND
2015-02-02,11800.0,11999.0,11700.0,11805.2001953125,10477.9697265625,3843.0,PAGEIND
2015-02-03,11845.0,12030.0,11753.2001953125,11997.4501953125,10648.6083984375,8462.0,PAGEIND
2015-02-04,12069.0,12100.0498046875,11816.0,11911.099609375,10571.96484375,4155.0,PAGEIND
2015-02-05,11820.0,11980.0,11662.0,11800.349609375,10473.66796875,3284.0,PAGEIND
2015-02-06,11781.0498046875,11851.0,11582.0498046875,11644.0498046875,10334.9365234375,5769.0,PAGEIND
2015-02-09,11644.0,11734.650390625,11205.0498046875,11265.7998046875,9999.21484375,7535.0,PAGEIND
2015-02-10,11265.0,11485.0,11153.099609375,11463.0,10174.2421875,5036.0,PAGEIND
2015-02-11,11501.4501953125,11797.0,11501.4501953125,11709.099609375,10392.6748046875,2982.0,PAGEIND
2015-02-12,11839.0,12044.0,11565.0,11770.599609375,10447.2626953125,15118.0,PAGEIND
2015-02-13,11800.0,11965.0,11721.25,11766.849609375,10443.93359375,8710.0,PAGEIND
2015-02-16,11900.0,12000.099609375,11711.0,11760.0498046875,10453.8916015625,9769.0,PAGEIND
2015-02-18,11801.0,11920.0,11603.0,11775.650390625,10467.7568359375,74737.0,PAGEIND
2015-02-19,11804.650390625,11850.0,11609.5,11776.5,10468.51171875,9267.0,PAGEIND
2015-02-20,11848.650390625,11888.650390625,11655.0,11783.25,10474.513671875,3016.0,PAGEIND
2015-02-23,11671.099609375,11824.650390625,11575.75,11647.400390625,10353.75,2110.0,PAGEIND
2015-02-24,11709.599609375,11998.0,11490.0,11761.4501953125,10455.1337890625,7281.0,PAGEIND
2015-02-25,11790.0,11793.900390625,11550.0,11626.75,10335.396484375,4515.0,PAGEIND
2015-02-26,11739.650390625,11739.650390625,11335.0,11463.4501953125,10190.2333984375,3229.0,PAGEIND
2015-02-27,11547.4501953125,11725.0,11405.0498046875,11599.7001953125,10311.3515625,3771.0,PAGEIND
2015-03-02,11949.0,12050.0,11600.25,11961.7001953125,10633.142578125,19320.0,PAGEIND
2015-03-03,11998.0,12488.0,11810.0,12196.900390625,10842.21875,30940.0,PAGEIND
2015-03-04,12292.0,12939.9501953125,11967.9501953125,12437.5,11056.09765625,27222.0,PAGEIND
2015-03-05,12499.650390625,13187.0,12451.0,13058.650390625,11608.2578125,12658.0,PAGEIND
2015-03-09,13000.0,13500.0,12791.7001953125,13171.150390625,11708.2607421875,14200.0,PAGEIND
2015-03-10,13170.0,13339.0,12900.0,13096.900390625,11642.2587890625,5980.0,PAGEIND
2015-03-11,13150.0,13150.0,12700.0,12845.5,11418.77734375,3390.0,PAGEIND
2015-03-12,12888.650390625,13358.0,12820.2998046875,13316.7998046875,11837.73828125,8313.0,PAGEIND
2015-03-13,13498.650390625,13720.0,13200.0498046875,13494.9501953125,11996.09765625,8511.0,PAGEIND
2015-03-16,13500.0,13575.0,13300.0,13480.5,11983.2509765625,5012.0,PAGEIND
2015-03-17,13500.0,13600.0498046875,13462.0,13578.349609375,12070.234375,5696.0,PAGEIND
2015-03-18,13659.650390625,13977.0,13523.0498046875,13774.75,12244.8212890625,6098.0,PAGEIND
2015-03-19,13888.0,14233.0,13770.2998046875,14050.25,12489.71875,9589.0,PAGEIND
2015-03-20,14100.0,14774.0,14100.0,14444.650390625,12840.314453125,23129.0,PAGEIND
2015-03-23,14450.0,14598.9501953125,13627.349609375,13998.099609375,12443.3642578125,8422.0,PAGEIND
2015-03-24,14148.650390625,14300.0,13005.5,13400.099609375,11911.7841796875,13158.0,PAGEIND
2015-03-25,13500.0,13850.4501953125,13500.0,13798.7998046875,12266.201171875,5339.0,PAGEIND
2015-03-26,13709.2001953125,14254.0,13621.25,14136.4501953125,12566.3486328125,7389.0,PAGEIND
2015-03-27,14388.650390625,14388.650390625,13760.25,14173.2998046875,12599.1025390625,5663.0,PAGEIND
2015-03-30,14296.9501953125,14400.0498046875,13834.0,13963.400390625,12412.51953125,5819.0,PAGEIND
2015-03-31,14025.0,14072.150390625,13670.0,13731.0498046875,12205.9736328125,4285.0,PAGEIND
2015-04-01,13702.0,14400.0,13702.0,14355.400390625,12760.9794921875,6968.0,PAGEIND
2015-04-06,14468.650390625,14468.650390625,14096.4501953125,14184.400390625,12608.9736328125,2940.0,PAGEIND
2015-04-07,13956.25,14229.2001953125,13599.650390625,13719.2001953125,12195.439453125,14208.0,PAGEIND
2015-04-08,13800.0498046875,14090.0,13721.0,14008.5498046875,12452.65234375,4388.0,PAGEIND
2015-04-09,14125.0,14344.9501953125,13901.099609375,14203.7998046875,12626.21875,26150.0,PAGEIND
2015-04-10,14202.0,14345.0,14005.0,14141.5,12570.8369140625,3275.0,PAGEIND
2015-04-13,14142.0,14142.0,13704.0,13736.0,12210.373046875,6476.0,PAGEIND
2015-04-15,13750.0,13750.0,13603.0,13674.7998046875,12155.97265625,20299.0,PAGEIND
2015-04-16,13705.0498046875,13706.2998046875,13201.0,13413.4501953125,11923.6494140625,7862.0,PAGEIND
2015-04-17,13410.0,13410.2998046875,12750.0,12871.349609375,11441.7578125,8541.0,PAGEIND
2015-04-20,13088.650390625,13230.0,12530.0,13033.7998046875,11586.1650390625,10603.0,PAGEIND
2015-04-21,13239.650390625,13500.0,13030.0,13419.900390625,11929.3857421875,4982.0,PAGEIND
2015-04-22,13498.650390625,13598.0,13000.0,13297.9501953125,11820.9765625,5362.0,PAGEIND
2015-04-23,13515.0,13515.0,12780.0,12880.9501953125,11450.2939453125,4549.0,PAGEIND
2015-04-24,12901.75,13273.0,12895.0,13086.849609375,11633.3232421875,8110.0,PAGEIND
2015-04-27,13080.0,13150.0,12590.0,12879.9501953125,11449.3994140625,4164.0,PAGEIND
2015-04-28,12900.25,13235.0,12602.0,13139.900390625,11680.482421875,4845.0,PAGEIND
2015-04-29,13001.25,13755.0,12801.2001953125,13660.7001953125,12143.4404296875,4493.0,PAGEIND
2015-04-30,13261.25,14000.0,13261.25,13654.0498046875,12137.52734375,4998.0,PAGEIND
2015-05-04,13700.0,14064.0,13550.0,14004.4501953125,12449.009765625,5105.0,PAGEIND
2015-05-05,13995.0,14198.0,13699.9501953125,14074.5498046875,12511.3232421875,4500.0,PAGEIND
2015-05-06,14000.0,14100.0,13705.25,14047.0498046875,12486.87890625,4362.0,PAGEIND
2015-05-07,14047.0,14249.0,13500.0,13764.599609375,12235.796875,4785.0,PAGEIND
2015-05-08,13605.0,13948.650390625,13210.0,13303.25,11825.6875,6377.0,PAGEIND
2015-05-11,13400.0,13800.0,13335.099609375,13685.099609375,12165.1279296875,3447.0,PAGEIND
2015-05-12,13750.0,13750.0,13301.150390625,13432.099609375,11940.2265625,3047.0,PAGEIND
