symbol,BHARATFORG,MRPL,HINDCOPPER,360ONE,CREDITACC,IDEA,HBLENGINE,CGCL
BHARATFORG,1.0,0.20360949100474748,0.2599840251944369,0.27602016788946354,0.004912822266379941,0.2936836669735685,-0.057193186514588316,0.20361270238654516
MRPL,0.20360949100474748,1.0,0.2676218768059101,-0.0025781510551769853,0.08042214468873993,0.1646986332406967,0.02049595179152336,0.0623782038468742
HINDCOPPER,0.2599840251944369,0.2676218768059101,1.0,0.0931974014055848,0.0929033154056659,0.29796675620096547,0.04808247759173866,0.22408198833698995
360ONE,0.27602016788946354,-0.0025781510551769853,0.0931974014055848,1.0,0.07696372472451604,0.16286373646972946,-0.005161976236140992,0.1838248833918395
CREDITACC,0.004912822266379941,0.08042214468873993,0.0929033154056659,0.07696372472451604,1.0,0.04584247408893513,0.19573430507651007,0.09466038147373272
IDEA,0.2936836669735685,0.1646986332406967,0.29796675620096547,0.16286373646972946,0.04584247408893513,1.0,-0.042765560947629365,0.29064418736545755
HBLENGINE,-0.057193186514588316,0.02049595179152336,0.04808247759173866,-0.005161976236140992,0.19573430507651007,-0.042765560947629365,1.0,0.0648605051335318
CGCL,0.20361270238654516,0.0623782038468742,0.22408198833698995,0.1838248833918395,0.09466038147373272,0.29064418736545755,0.0648605051335318,1.0
