,BHARATFORG,MRPL,HINDCOPPER,360ONE,CREDITACC,IDEA,HBLENGINE,CGCL
BHARATFORG,0.07207421539224906,0.02218116717628802,0.030552504540922672,0.02036745838241534,0.0004740261518903482,0.042790153538518526,-0.007677339856789567,0.01587101928290296
MRPL,0.02218116717628802,0.1646618221294695,0.04753661790794848,-0.0002875483599632447,0.011728795494549504,0.03627108604037833,0.004158541854870444,0.0073491875452323255
HINDCOPPER,0.030552504540922672,0.04753661790794848,0.19161101322876295,0.011212955947668678,0.014615805436897172,0.07078677955119966,0.010523824596956503,0.028479161053804925
360ONE,0.02036745838241534,-0.0002875483599632447,0.011212955947668678,0.07554613287576047,0.007602798597300449,0.02429431195030398,-0.0007094121657861808,0.014669672194201074
CREDITACC,0.0004740261518903482,0.011728795494549504,0.014615805436897172,0.007602798597300449,0.12917030040255675,0.008941769804451138,0.03517424684255762,0.009877785432347455
IDEA,0.042790153538518526,0.03627108604037833,0.07078677955119966,0.02429431195030398,0.008941769804451138,0.2945426927870822,-0.011604991662897433,0.0457979228057958
HBLENGINE,-0.007677339856789567,0.004158541854870444,0.010523824596956503,-0.0007094121657861808,0.03517424684255762,-0.011604991662897433,0.25000753542243853,0.009416009481680258
CGCL,0.01587101928290296,0.0073491875452323255,0.028479161053804925,0.014669672194201074,0.009877785432347455,0.0457979228057958,0.009416009481680258,0.08429854739982812
