date,HONASA,BHARATFORG,GVT&D,MRPL,HINDCOPPER,360ONE,CREDITACC,IDEA,HBLENGINE,CGCL
2025-07-01,-0.025426533967428444,-0.01827079341038662,-0.0047859253571426175,-0.003767589046418829,0.015395698168573668,-0.015906236919213113,0.03934868114207846,0.0026917875354763865,0.046382187329435665,-0.028257033643642515
2025-07-02,-0.02410828298302281,0.021180559318170422,0.01625668158059912,0.010084757399775768,0.0005288924303816778,0.0014461515711399198,0.008669292866018141,0.009395996436714293,0.010396439261856294,-0.00637592228292283
2025-07-03,0.009983120835977077,-0.009684362517731304,-0.014740348061924258,0.023504121819794,-0.010748855658039624,0.041964004810640665,-0.021447683503489356,-0.003989389612292671,0.014676577435345228,-0.001859055823650646
2025-07-04,-0.008209120813611137,0.012166050221121383,0.0015300295141604803,0.022015987721853092,-0.012647018725202464,0.015326960054066863,0.03988718775181299,-0.017356427446773126,-0.008804301066601461,-0.0023431830324908143
2025-07-07,0.001182453052417598,-0.0063142250499239605,-0.002970633292353142,-0.034864417558642224,-0.009381223744449163,0.006102437318895371,-0.00418444355990899,-0.009510892716241282,0.010072131751902136,-0.00469737286938654
2025-07-08,0.0032056071195805114,-0.019216028574659427,0.014258960327094838,-0.005356766540947522,-0.0029138147096622324,-0.026017538376646,0.009804665648828204,0.0,-0.013819076572956446,0.02559445524407189
2025-07-09,0.014799948182731004,-0.015299333353724465,0.0042385740359114354,0.0131879005590112,-0.0328767123287671,-0.021140649223202135,-0.011481777686972117,-0.0041151897295163,-0.013614630243580783,-0.008377570318261474
2025-07-10,-0.0009944259145107104,-0.021165240722849754,-0.004638569852173036,-0.00804148759981671,0.0009442870632672129,-0.00016737918630627124,-0.0020268923895234714,0.009641830939032925,0.005165892556253215,0.05705614132209491
2025-07-11,-0.023722607967072595,-0.016196954331983426,-0.020571813262087457,-0.02143442683098129,-0.008867947560436296,-0.00033491661577844667,0.020543703976906302,-0.021828083093787143,-0.018389162062277475,-0.008273772926508993
2025-07-14,-0.016482603580341926,-0.004774488471349758,-0.020017983251213622,-0.003229477014762172,0.0032362692681067173,-0.004857662335113089,0.013241522256505878,0.07531380140962907,-0.018733658341539394,0.004313335861454437
2025-07-15,0.03524537810004125,0.02349050820021703,0.0055113716758639075,0.026764355304320864,-0.005502892626304545,0.007658725829162716,-0.019036162798524936,-0.006485109012642765,0.010087516119997808,-0.00039561099436413727
2025-07-16,-0.008845106283371651,-0.004929671460792151,0.015703781428936248,0.008094443301215781,0.007632131628184213,0.0002505025854679932,-0.001078102911122314,0.02219322189038664,0.00041267745961959257,0.025609128808454118
2025-07-17,-0.008418925398989474,-0.005278973233361239,0.03520501895177097,0.0036744233904681955,0.013633805226070494,0.006680026856284771,-0.006629645320421429,-0.008939935569129198,0.0070126228621454345,0.007055444781257636
2025-07-18,-0.0271692975661183,-0.006695030139844627,-0.02436810396949951,0.011593265856726598,0.00784609060864705,-0.002820192835861657,-0.014667099776614956,-0.005154695555459998,-0.013026400730861809,0.005801847708262864
2025-07-21,-0.016582299869364103,0.0034523042302090357,0.03358491765404281,-0.06742183744200492,0.01501385650776177,0.01580435931766533,0.018980939263647745,-0.011657989403714542,-0.009794909301966914,-0.009958651968650534
2025-07-22,0.009229589894467871,-0.013188152860662883,0.005743825617838816,0.04067555810544943,-0.006756667890490675,-0.06313460421608408,-0.010898204609762763,-0.034076045213911166,-0.005784243669080036,0.004782116259010705
2025-07-23,-0.03534994099362143,0.015771562023819907,0.01998857875173754,0.07651406683141082,0.015076210339774798,-0.016694323917064713,0.05876383223530146,0.01492539148201888,-0.013069139966273235,-0.0072210465108418775
2025-07-24,0.003646308113035568,-0.005475158485917064,0.008238721188934761,-0.028866508548455405,-0.008331780093008723,-0.005688910590277763,0.007897225610060898,-0.014705900164961427,0.005126014523707756,0.03377785445849191
2025-07-25,-0.041961808512148036,-0.010682004930156141,-0.03351844506148349,-0.06981961891831823,-0.05388127853881275,-0.036384723815639175,-0.04203282472192038,-0.023066496463188146,-0.026179387019230727,-0.024359081655301873
2025-07-28,0.007394697001083861,-0.01287375415282388,-0.015555059447465602,-0.04161340935638291,-0.04131272952989262,-0.003061553718693766,-0.026372115339933444,-0.009722180094246857,-0.0241773172317431,-0.02108829082132624
2025-07-29,-0.0015057176949917483,0.02684057586374622,0.031184775136376075,-0.026970948492657576,0.040676563514263187,0.007258560399530989,-0.028028540896958498,0.008415139104699154,0.03667262969588547,0.011161960496442802
2025-07-30,0.014891657707940542,-0.026057069970473634,0.04997174033164997,-0.01104182246541674,-0.00019345121574876334,-0.020510045030907254,0.0014539974379039755,-0.026425598846783638,0.004659210020761417,0.02704497932087868
2025-07-31,0.010215452731425101,-0.016405855965449745,0.04998076581752975,-0.02895198774315133,-0.05806076890120082,-0.007074137281094961,0.006855944237164957,-0.012857164655412978,0.008588113870086955,0.0011285009297710147
2025-08-01,-0.0016547607531955943,-0.019673253340436236,0.04998534780234487,-0.02029971886609938,-0.026258472280170198,-0.00018994127590910015,-0.0016021789007198972,-0.04486251079956827,0.021542852717867822,-0.05867192586664216
2025-08-04,-0.02246779411976285,0.02731005103819406,-0.029792897879453162,0.027357322298098508,0.02962520600427143,-0.00047505938242276,-0.007141157077247162,0.03636367445806554,0.016920938279855635,0.08416967641117035
2025-08-05,-0.014129615999398437,-0.01435368104605983,0.015047896930435734,-7.880041130081672e-05,0.012951896538428764,0.013117917137001056,0.004202320243477775,0.010233873284013706,0.0013114553983093469,-0.017725621732265884
2025-08-06,0.003439686288853716,-0.018181797144280476,-0.0071287051213247965,-0.014576099123942199,-0.009346919010676746,-0.008444360656481242,-0.02639620747002347,-0.017366119856576212,-0.013588716370082854,0.0015528422282882204
2025-08-07,0.002285302347790452,0.01948389564349129,-0.003893517536613711,-0.011273655042418618,-0.01454069163080085,0.00813775093545277,0.028765023436328585,-0.010309303689933103,-0.012863070539419041,0.004491080126348468
2025-08-08,-0.016910438125275484,-0.022727294222562033,0.005701750622871149,0.017062857176702195,-0.010030248792189056,-0.021212666667965174,-0.005463544023139755,-0.031249935694391606,0.008490942064680596,-0.030391774353150214
2025-08-11,0.029570906592622404,0.02704375842378748,-0.0016045640934212457,0.0007156235166372316,-0.004731023043485827,0.0,0.017207889737908877,0.013824834498691096,0.1402968091474992,0.007300882935845632
2025-08-12,0.011075583337162076,-0.01157903741084887,-0.00017857142857147235,0.0034164969258740907,0.006478181382403303,-0.023206820204297873,0.03399257378923193,-0.019696987321116577,0.011769848160382734,-0.00392371237440392
2025-08-13,0.05885631942806002,0.025251627012706335,0.04193602512725492,-0.012352502551941535,0.012287898139704323,0.009228376830320517,-0.003917332736999346,-0.017001493082581365,0.10317922603188223,0.016030243758280438
2025-08-14,-0.019814111932036194,-0.0008463817181548761,-0.02492370448278325,-0.009059607571554551,-0.008298903931305501,0.010214007782101131,0.028840145693661112,-0.0330188732293204,0.0029473407493363357,0.0008076780521337756
2025-08-18,0.01735243686409893,0.0033883947479882437,-0.004711308126641667,-0.0012136045932904516,0.004746239968612009,0.022917716733870996,0.009219044579728441,0.050406493979252565,0.009403710497345008,0.027278554012590828
2025-08-19,0.004571787462861909,0.0033769523005486857,-0.0038858272609376687,0.013770794812975495,0.003853614008722861,0.015626447164574397,0.0010397507716766174,0.018575833568184263,0.021996507132074905,-0.014926889195277626
