bgsto_rank,date,symbol,buy_probability,bgsto_stock_score,return_21d,return_63d,volatility_60d,sharpe_252d,rsi_14,bgsto_fitness
1,2025-12-01,IDEA,0.9515648599412851,0.8478121800811385,0.13745713927403624,0.5300463259438508,0.5799343909298862,0.773762408378356,52.118878752455394,0.7462994095437678
2,2025-12-01,HINDCOPPER,0.9515648599412851,0.846585124758885,-0.02583980008468756,0.48346984123547654,0.5044851538718181,0.6719256983321283,55.26675916934332,0.7462994095437678
3,2025-12-01,MRPL,0.9515648599412851,0.8114313546102739,-0.003813429824199077,0.3273235292277412,0.4013679925054178,0.33208909486896326,48.351523341441386,0.7462994095437678
4,2025-12-01,HONASA,0.9515648599412851,0.7770470424088295,0.029644237809762553,-0.02184687824620357,0.25257277604954376,0.7844742228526839,49.46427653725874,0.7462994095437678
5,2025-12-01,CGCL,0.9515648599412851,0.756099935056373,-0.07970977564024462,0.027582291650860347,0.22173047904643542,-0.004325594422655752,43.03284175548212,0.7462994095437678
6,2025-12-01,CREDITACC,0.9515648599412851,0.7514665591741407,-0.08695652173913049,-0.039931440416582475,0.3800627375834597,0.892695530683795,46.217534308814976,0.7462994095437678
7,2025-12-01,GVT&D,0.8645746734539576,0.6866681368628504,-0.08561821695873861,0.00795200843714805,0.3584194479222142,1.2371327412901527,38.64808318915138,0.7462994095437678
8,2025-12-01,HBLENGINE,0.8645746734539576,0.6621865671130415,-0.1320369212593212,0.07963220062501764,0.5129589241673236,1.0296737636184996,39.57326685402643,0.7462994095437678
9,2025-12-01,BHARATFORG,0.7836069963883289,0.6453246985610936,0.08791385403630292,0.29484057977435496,0.26863592246758894,0.43563571890368774,67.98106521315854,0.7462994095437678
10,2025-12-01,360ONE,0.7836069963883289,0.6186795505559228,0.062254374986086436,0.17409774830932445,0.25144581808177247,0.44079482597200853,68.18830019923408,0.7462994095437678
