S.No.	Company Name	Industry	NSE Sector	Symbol
466	Travel Food Services Ltd.	Consumer Services	Consumer Services	TRAVELFOOD
467	Trent Ltd.	Consumer Services	Consumer Services	TRENT
468	Trident Ltd.	Textiles	Textiles	TRIDENT
469	Triveni Turbine Ltd.	Capital Goods	Capital Goods	TRITURBINE
470	Tube Investments of India Ltd.	Automobile and Auto Components	Automobile and Auto Components	TIINDIA
471	UCO Bank	Financial Services	Financial Services	UCOBANK
472	UNO Minda Ltd.	Automobile and Auto Components	Automobile and Auto Components	UNOMINDA
473	UPL Ltd.	Chemicals	Chemicals	UPL
474	UTI Asset Management Company Ltd.	Financial Services	Financial Services	UTIAMC
475	UltraTech Cement Ltd.	Construction Materials	Construction Materials	ULTRACEMCO
476	Union Bank of India	Financial Services	Financial Services	UNIONBANK
477	United Breweries Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	UBL
478	United Spirits Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	UNITDSPR
479	Urban Company Ltd.	Consumer Services	Consumer Services	URBANCO
480	Usha Martin Ltd.	Capital Goods	Capital Goods	USHAMART
481	Vardhman Textiles Ltd.	Textiles	Textiles	VTL
482	Varun Beverages Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	VBL
483	Vedanta Ltd.	Metals & Mining	Metals & Mining	VEDL
484	Vijaya Diagnostic Centre Ltd.	Healthcare	Healthcare	VIJAYA
485	Vishal Mega Mart Ltd.	Consumer Services	Consumer Services	VMM
486	Vodafone Idea Ltd.	Telecommunication	Telecommunication	IDEA
487	Voltas Ltd.	Consumer Durables	Consumer Durables	VOLTAS
488	Waaree Energies Ltd.	Capital Goods	Capital Goods	WAAREEENER
489	Welspun Corp Ltd.	Capital Goods	Capital Goods	WELCORP
490	Welspun Living Ltd.	Textiles	Textiles	WELSPUNLIV
491	Whirlpool of India Ltd.	Consumer Durables	Consumer Durables	WHIRLPOOL
492	Wipro Ltd.	Information Technology	Information Technology	WIPRO
493	Wockhardt Ltd.	Healthcare	Healthcare	WOCKPHARMA
494	Yes Bank Ltd.	Financial Services	Financial Services	YESBANK
495	ZF Commercial Vehicle Control Systems India Ltd.	Automobile and Auto Components	Automobile and Auto Components	ZFCVINDIA
496	Zee Entertainment Enterprises Ltd.	Media Entertainment & Publication	Media Entertainment & Publication	ZEEL
497	Zen Technologies Ltd.	Capital Goods	Capital Goods	ZENTEC
498	Zensar Technolgies Ltd.	Information Technology	Information Technology	ZENSARTECH
499	Zydus Lifesciences Ltd.	Healthcare	Healthcare	ZYDUSLIFE
500	Zydus Wellness Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	ZYDUSWELL
501	eClerx Services Ltd.	Services	Services	ECLERX
