S.No.	Company Name	Industry	NSE Sector	Symbol
179	General Insurance Corporation of India	Financial Services	Financial Services	GICRE
180	Gillette India Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	GILLETTE
181	Gland Pharma Ltd.	Healthcare	Healthcare	GLAND
182	Glaxosmithkline Pharmaceuticals Ltd.	Healthcare	Healthcare	GLAXO
183	Glenmark Pharmaceuticals Ltd.	Healthcare	Healthcare	GLENMARK
184	Global Health Ltd.	Healthcare	Healthcare	MEDANTA
185	Go Digit General Insurance Ltd.	Financial Services	Financial Services	GODIGIT
186	Godawari Power & Ispat Ltd.	Capital Goods	Capital Goods	GPIL
187	Godfrey Phillips India Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	GODFRYPHLP
188	Godrej Consumer Products Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	GODREJCP
189	Godrej Industries Ltd.	Diversified	Diversified	GODREJIND
190	Godrej Properties Ltd.	Realty	Realty	GODREJPROP
191	Granules India Ltd.	Healthcare	Healthcare	GRANULES
192	Graphite India Ltd.	Capital Goods	Capital Goods	GRAPHITE
193	Grasim Industries Ltd.	Construction Materials	Construction Materials	GRASIM
194	Gravita India Ltd.	Metals & Mining	Metals & Mining	GRAVITA
195	Great Eastern Shipping Co. Ltd.	Services	Services	GESHIP
196	Gujarat Fluorochemicals Ltd.	Chemicals	Chemicals	FLUOROCHEM
197	Gujarat Mineral Development Corporation Ltd.	Metals & Mining	Metals & Mining	GMDCLTD
198	H.E.G. Ltd.	Capital Goods	Capital Goods	HEG
199	HBL Engineering Ltd.	Capital Goods	Capital Goods	HBLENGINE
200	HCL Technologies Ltd.	Information Technology	Information Technology	HCLTECH
201	HDB Financial Services Ltd.	Financial Services	Financial Services	HDBFS
202	HDFC Asset Management Company Ltd.	Financial Services	Financial Services	HDFCAMC
203	HDFC Bank Ltd.	Financial Services	Financial Services	HDFCBANK
204	HDFC Life Insurance Company Ltd.	Financial Services	Financial Services	HDFCLIFE
205	HFCL Ltd.	Telecommunication	Telecommunication	HFCL
206	Havells India Ltd.	Consumer Durables	Consumer Durables	HAVELLS
207	Hero MotoCorp Ltd.	Automobile and Auto Components	Automobile and Auto Components	HEROMOTOCO
208	Hexaware Technologies Ltd.	Information Technology	Information Technology	HEXT
209	Himadri Speciality Chemical Ltd.	Chemicals	Chemicals	HSCL
210	Hindalco Industries Ltd.	Metals & Mining	Metals & Mining	HINDALCO
211	Hindustan Aeronautics Ltd.	Capital Goods	Capital Goods	HAL
212	Hindustan Copper Ltd.	Metals & Mining	Metals & Mining	HINDCOPPER
213	Hindustan Petroleum Corporation Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	HINDPETRO
214	Hindustan Unilever Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	HINDUNILVR
215	Hindustan Zinc Ltd.	Metals & Mining	Metals & Mining	HINDZINC
216	Hitachi Energy India Ltd.	Capital Goods	Capital Goods	POWERINDIA
217	Home First Finance Company India Ltd.	Financial Services	Financial Services	HOMEFIRST
218	Honasa Consumer Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	HONASA
219	Honeywell Automation India Ltd.	Capital Goods	Capital Goods	HONAUT
220	Housing & Urban Development Corporation Ltd.	Financial Services	Financial Services	HUDCO
221	Hyundai Motor India Ltd.	Automobile and Auto Components	Automobile and Auto Components	HYUNDAI
222	ICICI Bank Ltd.	Financial Services	Financial Services	ICICIBANK
223	ICICI Lombard General Insurance Company Ltd.	Financial Services	Financial Services	ICICIGI
224	ICICI Prudential Asset Management Company Ltd.	Financial Services	Financial Services	ICICIAMC
225	ICICI Prudential Life Insurance Company Ltd.	Financial Services	Financial Services	ICICIPRULI
226	IDBI Bank Ltd.	Financial Services	Financial Services	IDBI
227	IDFC First Bank Ltd.	Financial Services	Financial Services	IDFCFIRSTB
228	IFCI Ltd.	Financial Services	Financial Services	IFCI
229	IIFL Finance Ltd.	Financial Services	Financial Services	IIFL
230	IRB Infrastructure Developers Ltd.	Construction	Construction	IRB
231	IRCON International Ltd.	Construction	Construction	IRCON
232	ITC Hotels Ltd.	Consumer Services	Consumer Services	ITCHOTELS
233	ITC Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	ITC
234	ITI Ltd.	Telecommunication	Telecommunication	ITI
235	Indegene Ltd.	Healthcare	Healthcare	INDGN
236	India Cements Ltd.	Construction Materials	Construction Materials	INDIACEM
237	Indiamart Intermesh Ltd.	Consumer Services	Consumer Services	INDIAMART
238	Indian Bank	Financial Services	Financial Services	INDIANB
239	Indian Energy Exchange Ltd.	Financial Services	Financial Services	IEX
240	Indian Hotels Co. Ltd.	Consumer Services	Consumer Services	INDHOTEL
241	Indian Oil Corporation Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	IOC
242	Indian Overseas Bank	Financial Services	Financial Services	IOB
243	Indian Railway Catering And Tourism Corporation Ltd.	Consumer Services	Consumer Services	IRCTC
244	Indian Railway Finance Corporation Ltd.	Financial Services	Financial Services	IRFC
245	Indian Renewable Energy Development Agency Ltd.	Financial Services	Financial Services	IREDA
246	Indraprastha Gas Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	IGL
247	Indus Towers Ltd.	Telecommunication	Telecommunication	INDUSTOWER
248	IndusInd Bank Ltd.	Financial Services	Financial Services	INDUSINDBK
249	Info Edge (India) Ltd.	Consumer Services	Consumer Services	NAUKRI
250	Infosys Ltd.	Information Technology	Information Technology	INFY
251	Inox Wind Ltd.	Capital Goods	Capital Goods	INOXWIND
252	Intellect Design Arena Ltd.	Information Technology	Information Technology	INTELLECT
253	InterGlobe Aviation Ltd.	Services	Services	INDIGO
254	International Gemological Institute Ltd.	Services	Services	IGIL
