final_rank,selection_rank,bgsto_rank,date,symbol,portfolio_weight,portfolio_weight_percent,allocated_capital,final_stock_score,score_category,buy_probability,buy_confidence_percent,confidence_category,bgsto_stock_score,bgsto_fitness,return_21d,return_63d,volatility_60d,sharpe_252d,rsi_14,weighted_return_21d,weighted_return_63d,weighted_volatility_60d,weighted_sharpe_252d,selected
1,1,1,2025-12-01,IDEA,0.1,10.0,100000.0,100.0,Excellent,0.9515648599412851,95.15648599412852,Very High,0.8478121800811385,0.7462994095437678,0.1374571392740362,0.5300463259438508,0.5799343909298862,0.773762408378356,52.118878752455394,0.013745713927403619,0.053004632594385086,0.057993439092988625,0.0773762408378356,1
2,2,2,2025-12-01,HINDCOPPER,0.1,10.0,100000.0,99.46447813879848,Excellent,0.9515648599412851,95.15648599412852,Very High,0.846585124758885,0.7462994095437678,-0.0258398000846875,0.4834698412354765,0.5044851538718181,0.6719256983321283,55.26675916934332,-0.00258398000846875,0.048346984123547654,0.050448515387181814,0.06719256983321284,1
3,3,3,2025-12-01,MRPL,0.1,10.0,100000.0,84.12237246774978,Excellent,0.9515648599412851,95.15648599412852,Very High,0.8114313546102739,0.7462994095437678,-0.003813429824199,0.3273235292277412,0.4013679925054178,0.3320890948689632,48.351523341441386,-0.0003813429824199,0.03273235292277412,0.04013679925054178,0.033208909486896324,1
4,4,4,2025-12-01,HONASA,0.1,10.0,100000.0,69.11608014147048,Strong,0.9515648599412851,95.15648599412852,Very High,0.7770470424088295,0.7462994095437678,0.0296442378097625,-0.0218468782462035,0.2525727760495437,0.7844742228526839,49.46427653725874,0.00296442378097625,-0.00218468782462035,0.025257277604954373,0.0784474222852684,1
5,5,5,2025-12-01,CGCL,0.1,10.0,100000.0,59.974166396640285,Good,0.9515648599412851,95.15648599412852,Very High,0.756099935056373,0.7462994095437678,-0.0797097756402446,0.0275822916508603,0.2217304790464354,-0.0043255944226557,43.03284175548212,-0.007970977564024461,0.0027582291650860304,0.022173047904643542,-0.00043255944226557,1
6,6,6,2025-12-01,CREDITACC,0.1,10.0,100000.0,57.95202930868689,Good,0.9515648599412851,95.15648599412852,Very High,0.7514665591741407,0.7462994095437678,-0.0869565217391304,-0.0399314404165824,0.3800627375834597,0.892695530683795,46.217534308814976,-0.00869565217391304,-0.00399314404165824,0.038006273758345976,0.08926955306837951,1
7,7,7,2025-12-01,GVT&D,0.1,10.0,100000.0,29.67215382977377,Moderate,0.8645746734539576,86.45746734539576,High,0.6866681368628504,0.7462994095437678,-0.0856182169587386,0.007952008437148,0.3584194479222142,1.2371327412901527,38.64808318915138,-0.008561821695873861,0.0007952008437148001,0.03584194479222142,0.12371327412901528,1
8,8,8,2025-12-01,HBLENGINE,0.1,10.0,100000.0,18.987700113802767,Weak,0.8645746734539576,86.45746734539576,High,0.6621865671130415,0.7462994095437678,-0.1320369212593212,0.0796322006250176,0.5129589241673236,1.0296737636184996,39.57326685402643,-0.013203692125932122,0.007963220062501759,0.05129589241673236,0.10296737636184997,1
9,9,9,2025-12-01,BHARATFORG,0.1,10.0,100000.0,11.62870083601016,Weak,0.7836069963883289,78.36069963883288,Moderate,0.6453246985610936,0.7462994095437678,0.0879138540363029,0.2948405797743549,0.2686359224675889,0.4356357189036877,67.98106521315854,0.008791385403630291,0.02948405797743549,0.02686359224675889,0.043563571890368774,1
10,10,10,2025-12-01,360ONE,0.1,10.0,100000.0,0.0,Weak,0.7836069963883289,78.36069963883288,Moderate,0.6186795505559228,0.7462994095437678,0.0622543749860864,0.1740977483093244,0.2514458180817724,0.4407948259720085,68.18830019923408,0.006225437498608641,0.01740977483093244,0.025144581808177243,0.04407948259720085,1
