date,portfolio_return,active_stocks,transaction_cost,portfolio_growth,portfolio_value,cumulative_return,running_peak,drawdown,return_360ONE,return_BHARATFORG,return_CGCL,return_CREDITACC,return_GVT&D,return_HBLENGINE,return_HINDCOPPER,return_HONASA,return_IDEA,return_MRPL
2025-12-02,-0.006053428707513476,10,0.0,0.9939465712924865,993946.5712924865,-0.006053428707513464,993946.5712924865,0.0,-0.022197970870021844,-0.008094943303661006,-0.0035738946784505954,-0.014285677955264142,0.01813443277640392,-0.02740273275030558,-0.0020630815958184723,-0.0027917057052879723,0.020140967081430317,-0.018399680074159375
2025-12-03,0.0019051869158489432,10,0.0,0.9958402252951658,995840.2252951658,-0.004159774704834196,995840.2252951658,0.0,-0.012726818733473477,-0.01034191418162822,-0.009177642982052592,0.007019871992032911,0.016864666819641272,-0.0027761161337940266,0.0017720630424742367,-0.01574807211203677,0.04146101397325852,0.002704817474067589
2025-12-04,-0.002794633235301582,10,0.0,0.9930572171045057,993057.2171045056,-0.006942782895494326,995840.2252951658,-0.0027946332353016023,-0.01759424948451782,-0.008814880964207128,-0.0009583091229338203,0.009669458548934307,-0.032790774056261074,-0.04021797248732728,0.07827233278850709,-0.011022192873963221,0.01232228550622061,-0.016812030207467465
2025-12-05,-0.0028521390003708787,10,0.0,0.9902248798860022,990224.8798860022,-0.009775120113997837,995840.2252951658,-0.005638801553230377,0.016668063654760257,0.008391276279828608,0.007033717499314696,-0.04179662125324801,-0.012940742170994057,-0.003209103343036923,0.016678072870053517,-0.01150460630265493,0.011235944019676536,-0.019077391257408483
2025-12-08,-0.025484085692673457,10,0.0,0.96498990419197,964989.9041919699,-0.03501009580803005,995840.2252951658,-0.030979187543917375,-0.01613321840988058,-0.02304411910097981,-0.01693220685730068,-0.031300770025651126,-0.004261733157853831,-0.005014904917220897,-0.022455306398309394,-0.06746682838544238,-0.04722224258101004,-0.02100952709308579
2025-12-09,0.014593194752264838,10,0.0,0.9790721897978127,979072.1897978127,-0.020927810202187258,995840.2252951658,-0.016838078108747823,-0.009129520018396176,0.007061774553302591,-0.012917760132555411,0.014476505541931362,0.056401850367383766,0.010453663499898402,-0.0017881617386196202,0.016380710297261736,0.04373176005183388,0.021261125100607847
2025-12-10,-0.007341337298178119,10,0.0,0.9718844906132411,971884.4906132411,-0.028115509386758886,995840.2252951658,-0.024055801396076548,-0.013507438728880605,0.00036145921412611415,-0.019030541724258554,0.001103771986057156,-0.001957034977304928,-0.015702916892290864,-0.009508091932194151,-0.012854998948919394,-0.0018621512584328093,-0.0004554297196831536
2025-12-11,0.012327650453320326,10,0.0,0.9838655428945244,983865.5428945244,-0.016134457105475564,995840.2252951658,-0.012024702453741654,0.029923854358462343,0.01705437371051355,0.022123464519502756,0.005906441732240975,0.031581085095247374,0.003253196095950317,-0.006538630360163666,-0.0036929671581071855,0.04944027236653126,-0.02577458582697445
2025-12-12,0.017977934374794648,10,0.0,1.001553413058304,1001553.4130583039,0.0015534130583039207,1001553.4130583039,0.0,0.005634663650846861,0.013642217363743825,0.001359587353778391,0.008690186457067206,0.017441401116884414,0.01240964292187785,0.07071833903114855,0.02009369826594387,0.034666697184244866,-0.004877089597589368
2025-12-15,-0.007106031691285542,10,0.0,0.9944363427645964,994436.3427645963,-0.005563657235403641,1001553.4130583039,-0.0071060316912855415,0.002188780078123953,-0.008762034876976799,-0.010047302840766159,-0.006597329896718684,-0.010291977999348778,0.005666739311371849,-0.006146962462200589,-0.017594169916929192,-0.02491408533500461,0.005438027025593595
