dataset,rows,accuracy,precision,recall,specificity,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
train,153808,0.596561947362946,0.5261711681522686,0.5951604833452098,0.5976141421270105,0.5585435608485935,0.6334809495279318,52501,35350,26702,39255
backtest,557465,0.5146690823639152,0.4986948390434125,0.4643477745378827,0.5618988336590557,0.4809088100934558,0.514382494537922,161583,125983,144572,125327
validation,98295,0.5284500737575665,0.40552922088251203,0.31542611105612195,0.6771763730283503,0.3548472405873756,0.4990002134502711,39197,18686,27665,12747
