iteration,best_fitness,iteration_best_fitness,average_fitness,selected_stocks
1,0.6580331488907014,0.6580331488907014,0.5917050992687143,20
2,0.6580331488907014,0.6580331488907014,0.6138880022855128,20
3,0.658106794228682,0.658106794228682,0.6207627464089643,20
4,0.6639836315644483,0.6639836315644483,0.633238878145957,20
5,0.6702640894897965,0.6702640894897965,0.6384608708272745,20
6,0.6755783119176024,0.6755783119176024,0.650356499335547,20
7,0.6816955516104335,0.6816955516104335,0.6555529720895339,17
8,0.6836043164527125,0.6836043164527125,0.6592351441821372,16
9,0.6968914567310819,0.6968914567310819,0.6562218748719479,14
10,0.6968914567310819,0.6968914567310819,0.661355105682688,14
11,0.7096863598688629,0.7096863598688629,0.6576413702446687,12
12,0.7096863598688629,0.7096863598688629,0.6582952301698559,12
13,0.7096863598688629,0.7096863598688629,0.659165219117764,12
14,0.7179383232237074,0.7179383232237074,0.6570568690756668,11
15,0.7179383232237074,0.7179383232237074,0.6554616256518032,11
16,0.730795019383682,0.730795019383682,0.6456625147754348,10
17,0.730795019383682,0.730795019383682,0.6453561719823045,10
18,0.7322739397136884,0.7322739397136884,0.647519774699425,10
19,0.7322739397136884,0.7322739397136884,0.6500765848847937,10
20,0.7322739397136884,0.7322739397136884,0.6485084701950687,10
21,0.7322739397136884,0.7322739397136884,0.6476456126887029,10
22,0.7353679228219879,0.7353679228219879,0.6540010176353139,10
23,0.7413450104959906,0.7413450104959906,0.662295068113564,10
24,0.7413450104959906,0.7413450104959906,0.660875061059521,10
25,0.7413450104959906,0.7413450104959906,0.6702517156059403,10
26,0.7413450104959906,0.7413450104959906,0.6643717984826086,10
27,0.7413450104959906,0.7413450104959906,0.6583561767607772,10
28,0.7418100560239695,0.7418100560239695,0.6706832924162882,10
29,0.7418100560239695,0.7418100560239695,0.6655371828379173,10
30,0.7418100560239695,0.7418100560239695,0.6612959813180614,10
31,0.7418100560239695,0.7418100560239695,0.6557054596051256,10
32,0.7418100560239695,0.7418100560239695,0.6621748880442653,10
33,0.7418100560239695,0.7418100560239695,0.6678775516546281,10
34,0.7418100560239695,0.7418100560239695,0.6780928575764071,10
35,0.7418100560239695,0.7418100560239695,0.6770998101405509,10
36,0.7418100560239695,0.7418100560239695,0.6859133623004408,10
37,0.7418100560239695,0.7418100560239695,0.6762449626876201,10
38,0.7418100560239695,0.7418100560239695,0.6893071584036231,10
39,0.7428867604645174,0.7428867604645174,0.6847663681965227,10
