symbol,max_drawdown,max_drawdown_percent,max_drawdown_date,current_drawdown,current_drawdown_percent,prediction_date,agent2_rank
IDEA,-0.38128769064492474,-38.128769064492474,2025-08-14,-0.09232169231693288,-9.232169231693288,2025-12-01,1
MRPL,-0.3545512566112513,-35.45512566112513,2025-03-03,-0.11748036757118263,-11.748036757118264,2025-12-01,2
HINDCOPPER,-0.3572649572649572,-35.72649572649572,2025-04-07,-0.06824112733770815,-6.824112733770815,2025-12-01,3
HBLENGINE,-0.4234643498071968,-42.346434980719685,2025-03-17,-0.20790868501128157,-20.790868501128156,2025-12-01,4
HONASA,-0.2782827555788182,-27.82827555788182,2025-02-11,-0.12968872348376992,-12.968872348376992,2025-12-01,5
GVT&D,-0.3990258384190537,-39.90258384190537,2025-04-07,-0.1166435128781641,-11.66435128781641,2025-12-01,6
CREDITACC,-0.21180217089799047,-21.180217089799047,2025-02-24,-0.09010898232067144,-9.010898232067143,2025-12-01,7
CGCL,-0.2915298907524525,-29.15298907524525,2025-06-04,-0.10763529132750904,-10.763529132750904,2025-12-01,8
BHARATFORG,-0.31013487114431837,-31.013487114431836,2025-04-07,-0.0091273348205958,-0.91273348205958,2025-12-01,9
360ONE,-0.37667195576841617,-37.667195576841614,2025-04-09,-0.0831437949011754,-8.31437949011754,2025-12-01,10
