symbol,weight,marginal_volatility,component_volatility,risk_contribution_fraction,risk_contribution_percent,component_var_fraction,component_var_percent,risk_contribution_rank
IDEA,0.1,0.02141482076832656,0.0021414820768326562,0.13900267317954496,13.900267317954496,0.0035224245611297656,0.35224245611297655,1
HINDCOPPER,0.1,0.01997874613721066,0.0019978746137210663,0.12968117500918985,12.968117500918986,0.0032862113045733676,0.32862113045733676,2
HBLENGINE,0.1,0.019702476206639414,0.0019702476206639413,0.1278879188673813,12.78879188673813,0.0032407689448415923,0.3240768944841592,3
MRPL,0.1,0.015501967930835586,0.0015501967930835587,0.1006226017598424,10.06226017598424,0.0025498468175920324,0.25498468175920325,4
CREDITACC,0.1,0.014813193900070463,0.0014813193900070464,0.09615179938756162,9.615179938756162,0.0024365535713266324,0.24365535713266323,5
CGCL,0.1,0.014204656578196494,0.0014204656578196495,0.09220181001407536,9.220181001407536,0.0023364580892246594,0.23364580892246595,6
GVT&D,0.1,0.013228347377128356,0.0013228347377128356,0.08586462931728533,8.586462931728533,0.002175869516184357,0.2175869516184357,7
360ONE,0.1,0.012025146940073917,0.0012025146940073917,0.07805470744445178,7.805470744445178,0.001977960655900498,0.1977960655900498,8
BHARATFORG,0.1,0.011678097710860083,0.0011678097710860083,0.07580202594375139,7.580202594375139,0.0019208761375601891,0.1920876137560189,9
HONASA,0.1,0.011513042400011731,0.0011513042400011731,0.07473065907691609,7.473065907691609,0.0018937269548905376,0.18937269548905375,10
