symbol,observations,volatility_20d_daily,volatility_20d_annual,volatility_60d_daily,volatility_60d_annual,volatility_252d_daily,volatility_252d_annual,historical_volatility_daily,historical_volatility_annual,prediction_date,top30_probability,ensemble_std,trend_class,agent2_rank
IDEA,252,0.03342762891586232,0.5306471581795401,0.036532432741290415,0.5799343909298885,0.03462193220383161,0.5496061351192612,0.03462193220383161,0.5496061351192612,2025-12-01,0.6222227215766907,0.05371950939297676,TOP30,1
MRPL,252,0.028097418308046195,0.4460326879562607,0.025283804584007887,0.40136795476103865,0.026420737879088906,0.4194162112973602,0.026420737879088906,0.4194162112973602,2025-12-01,0.6166498064994812,0.044422537088394165,TOP30,2
HINDCOPPER,252,0.028485589778401006,0.4521947190159154,0.03182743206533259,0.5052448206880373,0.027663519697003907,0.4391447610420553,0.027663519697003907,0.4391447610420553,2025-12-01,0.5750710368156433,0.003910033032298088,TOP30,3
HBLENGINE,252,0.046823375874563464,0.7432980486515784,0.0322987962702602,0.5127274954670943,0.033333812084122554,0.5291578621460876,0.033333812084122554,0.5291578621460876,2025-12-01,0.5249953866004944,0.060771193355321884,TOP30,4
HONASA,252,0.016874548426495436,0.26787515173813936,0.015910583775803747,0.2525726873078146,0.025868655330011887,0.41065217252914177,0.025868655330011887,0.41065217252914177,2025-12-01,0.48940858244895935,0.012562382034957409,NOT_TOP30,5
GVT&D,252,0.025852877812309185,0.4104017122002582,0.02257830598928076,0.35841949603654244,0.026407043098812224,0.41919881340012954,0.026407043098812224,0.41919881340012954,2025-12-01,0.48628807067871094,0.08394761383533478,NOT_TOP30,6
CREDITACC,252,0.018966839095770842,0.30108923642632107,0.023941702053529426,0.3800627375834597,0.03144955932157134,0.49924627684470596,0.03144955932157134,0.49924627684470596,2025-12-01,0.430004745721817,0.024011580273509026,NOT_TOP30,7
CGCL,252,0.011159042060521675,0.17714430097110082,0.01399383190533534,0.22214519466215085,0.029039231087645938,0.46098350233468116,0.029039231087645938,0.46098350233468116,2025-12-01,0.42395713925361633,0.02156209573149681,NOT_TOP30,8
BHARATFORG,252,0.01667559787529299,0.264716909648054,0.016922490031322308,0.26863620112109077,0.019625933331765218,0.31155203306030443,0.019625933331765218,0.31155203306030443,2025-12-01,0.40766072273254395,0.016210002824664116,NOT_TOP30,9
360ONE,252,0.014433988181801588,0.22913245893535414,0.015896552660616327,0.2523499502593977,0.02476092067188879,0.3930674299848966,0.02476092067188879,0.3930674299848966,2025-12-01,0.38252511620521545,0.023505020886659622,NOT_TOP30,10
