symbol,step,action_id,trade_action,q_hold,q_buy,q_sell,reward,executed,portfolio_value,cash,shares,current_drawdown,max_drawdown
360ONE,17,0,HOLD,-1.016004204750061,-1.0278425216674805,-1.0461649894714355,-0.01113337340461674,False,989048.2423717041,810701.6389171142,283.0,-0.014924660867137738,-0.01864525879375841
360ONE,18,0,HOLD,-0.9012432098388672,-0.9100636839866638,-0.9242125749588013,-0.012766279636952992,False,990123.6389171142,810701.6389171142,283.0,-0.013853584077059288,-0.01864525879375841
360ONE,19,1,BUY,-0.7981632947921753,-0.7857437133789062,-0.8118933439254761,-0.01821423086282965,False,987949.7913956299,742795.8009171142,390.0,-0.016018699480646003,-0.01864525879375841
360ONE,20,0,HOLD,-0.8081716299057007,-0.8194136023521423,-0.8132233619689941,-0.02271496710373324,False,984615.2961563721,742795.8009171142,390.0,-0.01933980040164065,-0.01933980040164065
360ONE,21,0,HOLD,-0.8051586151123047,-0.8138942718505859,-0.8221352100372314,-0.021340335175757275,False,983620.8009171142,742795.8009171142,390.0,-0.020330300857643414,-0.020330300857643414
360ONE,22,0,HOLD,-0.7387180924415588,-0.7405945658683777,-0.7552378177642822,-0.030181133524785995,False,978726.3056778564,742795.8009171142,390.0,-0.025205135421965983,-0.025205135421965983
360ONE,23,2,SELL,-0.800225555896759,-0.8015245199203491,-0.799234926700592,-0.01778103311178739,False,982405.7583427124,766365.2583427124,351.0,-0.021540462733235653,-0.025205135421965983
360ONE,24,0,HOLD,-0.7900123000144958,-0.7930086255073547,-0.8020925521850586,-0.012351071494550635,False,986968.7583427124,766365.2583427124,351.0,-0.01699579182650148,-0.025205135421965983
360ONE,25,1,BUY,-0.7683913111686707,-0.7547180652618408,-0.7644338607788086,-0.005548609160576487,False,992666.1802723999,740570.9898427124,392.0,-0.01132125584420036,-0.025205135421965983
360ONE,26,0,HOLD,-0.7700262069702148,-0.7763715386390686,-0.7715286016464233,-0.0010727722649916177,False,997781.7994130249,740570.9898427124,392.0,-0.0062261856100713,-0.025205135421965983
360ONE,27,1,BUY,-0.7793231010437012,-0.7762359976768494,-0.7893784642219543,-0.007675313458067611,False,997056.5850575562,740570.9898427124,392.0,-0.00694848685540218,-0.025205135421965983
360ONE,28,0,HOLD,-0.7488899827003479,-0.7510022521018982,-0.7622222304344177,-0.011689152031629806,False,994684.9898427124,740570.9898427124,392.0,-0.009310555620567722,-0.025205135421965983
360ONE,29,1,BUY,-0.7731817960739136,-0.7688945531845093,-0.7831409573554993,0.01712341591467026,False,1011717.3946278687,740570.9898427124,392.0,0.0,-0.025205135421965983
360ONE,30,1,BUY,-0.8662514090538025,-0.8610199093818665,-0.881620466709137,0.0062574644640363,False,1018048.1802723999,740570.9898427124,392.0,0.0,-0.025205135421965983
360ONE,31,0,HOLD,-0.8609009385108948,-0.8644391894340515,-0.8767117261886597,0.0022140405961894594,False,1020302.1802723999,740570.9898427124,392.0,0.0,-0.025205135421965983
360ONE,32,0,HOLD,-0.8588345646858215,-0.8635240197181702,-0.884735643863678,-0.016290038422061,False,1011991.7994130249,740570.9898427124,392.0,-0.008145019211030499,-0.025205135421965983
360ONE,33,1,BUY,-0.9190383553504944,-0.9166931509971619,-0.9302186369895935,-0.0007381117584424526,False,1015754.9898427124,740570.9898427124,392.0,-0.004456709509797865,-0.025205135421965983
360ONE,34,0,HOLD,-0.8667882084846497,-0.8712558746337891,-0.8777524828910828,-0.0017612904156946879,False,1017126.9898427124,740570.9898427124,392.0,-0.00311200984480871,-0.025205135421965983
360ONE,35,0,HOLD,-0.8953267931938171,-0.8991121649742126,-0.9016914963722229,0.003160278723557841,False,1020341.3946278687,740570.9898427124,392.0,0.0,-0.025205135421965983
360ONE,36,0,HOLD,-0.907088577747345,-0.9214029908180237,-0.9201699495315552,-0.003995534819793721,False,1018302.9898427124,740570.9898427124,392.0,-0.001997767409896843,-0.025205135421965983
360ONE,37,0,HOLD,-0.9307594895362854,-0.9430068731307983,-0.9438283443450928,0.005081399973062561,False,1023477.3946278687,740570.9898427124,392.0,0.0,-0.025205135421965983
360ONE,38,0,HOLD,-0.8732643127441406,-0.8826520442962646,-0.8833968043327332,0.018346067771588093,False,1042254.1802723999,740570.9898427124,392.0,0.0,-0.025205135421965983
360ONE,39,1,BUY,-0.9085596799850464,-0.9037788510322571,-0.9253045916557312,-0.01636069235581612,False,1033728.1802723999,740570.9898427124,392.0,-0.008180346177908037,-0.025205135421965983
360ONE,40,0,HOLD,-0.9714620113372803,-0.9823639988899231,-0.986716628074646,-0.03201061383390874,False,1021360.5850575562,740570.9898427124,392.0,-0.02004654489309227,-0.025205135421965983
360ONE,41,0,HOLD,-1.0471293926239014,-1.053789496421814,-1.0591230392456055,-0.018032765794868653,False,1022399.3946278687,740570.9898427124,392.0,-0.01904984985461231,-0.025205135421965983
360ONE,42,0,HOLD,-1.0120834112167358,-1.0158190727233887,-1.0442719459533691,-0.009365973961835205,False,1027397.3946278687,740570.9898427124,392.0,-0.014254474508942083,-0.025205135421965983
360ONE,43,0,HOLD,-0.9937185049057007,-0.9950937032699585,-1.0061125755310059,-0.01758817274925423,False,1025672.5850575562,740570.9898427124,392.0,-0.015909358320357173,-0.025205135421965983
360ONE,44,0,HOLD,-1.0292537212371826,-1.044930338859558,-1.0437413454055786,-0.02072452010673211,False,1023183.3946278687,740570.9898427124,392.0,-0.01829763411411502,-0.025205135421965983
360ONE,45,0,HOLD,-1.0330287218093872,-1.049638271331787,-1.0514813661575317,-0.037050522961756545,False,1013500.9898427124,740570.9898427124,392.0,-0.027587503100417084,-0.027587503100417084
360ONE,46,0,HOLD,-1.0566564798355103,-1.0698662996292114,-1.070022463798523,-0.04013698683134381,False,1007052.5850575562,740570.9898427124,392.0,-0.03377448215716783,-0.03377448215716783
360ONE,47,0,HOLD,-1.091973900794983,-1.103305697441101,-1.098183035850525,-0.010124758574403737,False,1019165.3946278687,740570.9898427124,392.0,-0.022152739784163634,-0.03377448215716783
360ONE,48,0,HOLD,-1.0650275945663452,-1.070360541343689,-1.1026544570922852,-0.023864396491412133,False,1018283.3946278687,740570.9898427124,392.0,-0.022998982492223086,-0.03377448215716783
360ONE,49,0,HOLD,-1.0553748607635498,-1.0631015300750732,-1.0826507806777954,-0.03125661406394609,False,1014030.1802723999,740570.9898427124,392.0,-0.027079766657902463,-0.03377448215716783
360ONE,50,0,HOLD,-1.0120348930358887,-1.0191441774368286,-1.0430737733840942,-0.027766154449576783,False,1013677.3946278687,740570.9898427124,392.0,-0.027418249967644668,-0.03377448215716783
360ONE,51,0,HOLD,-0.9883983731269836,-1.005619764328003,-1.0051324367523193,-0.029210901786749895,False,1012756.1802723999,740570.9898427124,392.0,-0.028302117236210563,-0.03377448215716783
360ONE,52,1,BUY,-0.9722393751144409,-0.9683204889297485,-0.9764028787612915,-0.03188898099516309,False,1010913.7994130249,740570.9898427124,392.0,-0.030069805861737093,-0.03377448215716783
360ONE,53,0,HOLD,-1.0124053955078125,-1.0257295370101929,-1.0210812091827393,-0.02781640940782683,False,1012070.1802723999,740570.9898427124,392.0,-0.028960306009145693,-0.03377448215716783
360ONE,54,0,HOLD,-0.9770606160163879,-0.9814704060554504,-0.9991804361343384,-0.0433509954368802,False,1004680.9898427124,740570.9898427124,392.0,-0.0360499301810116,-0.0360499301810116
360ONE,55,0,HOLD,-1.0380038022994995,-1.050213098526001,-1.0459064245224,-0.036318109988022235,False,1004543.7994130249,740570.9898427124,392.0,-0.03618155875327758,-0.03618155875327758
360ONE,56,0,HOLD,-0.9992517828941345,-1.005985975265503,-1.0241780281066895,-0.04196742359144821,False,1001584.1802723999,740570.9898427124,392.0,-0.03902119153829695,-0.03902119153829695
360ONE,57,1,BUY,-1.012331247329712,-1.0025073289871216,-1.0407638549804688,-0.050955618296133896,False,995488.5850575562,740570.9898427124,392.0,-0.044869664329502866,-0.044869664329502866
360ONE,58,0,HOLD,-1.0356156826019287,-1.0458303689956665,-1.048274040222168,-0.03128118659034003,False,1002407.3946278687,740570.9898427124,392.0,-0.038231351237293223,-0.044869664329502866
360ONE,59,1,BUY,-0.9124460220336914,-0.9096271991729736,-0.9467320442199707,-0.03236255608142236,False,1005406.1802723999,740570.9898427124,392.0,-0.03535413980337266,-0.044869664329502866
360ONE,60,1,BUY,-0.8867069482803345,-0.8858180046081543,-0.9144762754440308,-0.019114929543801788,False,1013716.5850575562,740570.9898427124,392.0,-0.027380648362940855,-0.044869664329502866
360ONE,61,0,HOLD,-0.859309732913971,-0.8685190081596375,-0.8666394948959351,-0.028105321212009173,False,1013344.1802723999,740570.9898427124,392.0,-0.027737955430837593,-0.044869664329502866
360ONE,62,0,HOLD,-0.8777315616607666,-0.8815329670906067,-0.8871304988861084,-0.008282836645615223,False,1023340.1802723999,740570.9898427124,392.0,-0.018147204739497137,-0.044869664329502866
360ONE,63,1,BUY,-0.8667604327201843,-0.8665719032287598,-0.8749569058418274,-0.018412894723923216,False,1023202.9898427124,740570.9898427124,392.0,-0.018278833311763113,-0.044869664329502866
360ONE,64,1,BUY,-0.8714085221290588,-0.8660740852355957,-0.8778384327888489,-0.02215082941623235,False,1021203.7994130249,740570.9898427124,392.0,-0.020196974267710152,-0.044869664329502866
360ONE,65,0,HOLD,-0.8998792171478271,-0.9029197096824646,-0.9079540371894836,-0.01700514340224336,False,1022850.1802723999,740570.9898427124,392.0,-0.018617339577307945,-0.044869664329502866
360ONE,66,1,BUY,-0.8710513710975647,-0.865824282169342,-0.8924646973609924,-0.019338685666959506,False,1022477.7994130249,740570.9898427124,392.0,-0.018974623689402056,-0.044869664329502866
360ONE,67,1,BUY,-0.8928031921386719,-0.8850314021110535,-0.8955321311950684,-0.00632913838402061,False,1029004.5850575562,740570.9898427124,392.0,-0.012712441423243686,-0.044869664329502866
360ONE,68,1,BUY,-0.8276105523109436,-0.8110579252243042,-0.8345081806182861,-0.002946367597040327,False,1034061.3946278687,740570.9898427124,392.0,-0.00786064071471511,-0.044869664329502866
360ONE,69,1,BUY,-0.8298088312149048,-0.8149557113647461,-0.8371064066886902,-0.01450635289079485,False,1030611.7994130249,740570.9898427124,392.0,-0.011170385381742665,-0.044869664329502866
360ONE,70,0,HOLD,-0.8324288129806519,-0.8410754203796387,-0.8412829041481018,-0.002924950358003081,False,1034884.5850575562,740570.9898427124,392.0,-0.007070823369514007,-0.044869664329502866
360ONE,71,1,BUY,-0.8256338238716125,-0.8190504908561707,-0.8366015553474426,0.01840902321915361,False,1053935.799413025,740570.9898427124,392.0,0.0,-0.044869664329502866
360ONE,72,2,SELL,-0.9289087057113647,-0.9233592748641968,-0.8996670246124268,-0.005954051165218497,False,1050798.2055757446,771716.4141939087,353.0,-0.002977025582609237,-0.044869664329502866
360ONE,73,1,BUY,-0.8916480541229248,-0.8892850279808044,-0.903018593788147,-0.017165903885532165,False,1043332.2685029907,771716.4141939087,353.0,-0.010060888828275584,-0.044869664329502866
360ONE,74,0,HOLD,-0.9638697504997253,-0.9722529649734497,-0.9680708646774292,-0.012350036919398021,False,1042132.0598848267,771716.4141939087,353.0,-0.011199676047414075,-0.044869664329502866
360ONE,75,0,HOLD,-0.924247682094574,-0.9436307549476624,-0.9501099586486816,0.011974070664926284,False,1054610.6228120727,771716.4141939087,353.0,0.0,-0.044869664329502866
360ONE,76,2,SELL,-1.0377691984176636,-1.013980507850647,-0.993166446685791,0.011235657008534572,False,1066459.8660475463,799737.3660475464,318.0,0.0,-0.044869664329502866
360ONE,77,1,BUY,-0.9348319172859192,-0.93292236328125,-0.971237301826477,-0.018308431836291352,False,1056697.2621657103,799737.3660475464,318.0,-0.00915421591814566,-0.044869664329502866
360ONE,78,1,BUY,-1.0018362998962402,-0.9927085638046265,-1.010312557220459,-0.02071320994561578,False,1050562.0017453004,793266.5017453003,326.0,-0.014907137913370967,-0.044869664329502866
360ONE,79,0,HOLD,-0.9910504817962646,-0.9965614080429077,-1.0187695026397705,-0.01811031613024946,False,1048866.7977658082,793266.5017453003,326.0,-0.01649669982138243,-0.044869664329502866
360ONE,80,0,HOLD,-1.000848650932312,-1.0135345458984375,-1.0093437433242798,-0.022661658777425535,False,1045606.7977658081,793266.5017453003,326.0,-0.019553542468525024,-0.044869664329502866
360ONE,81,0,HOLD,-1.031958818435669,-1.0452407598495483,-1.0438092947006226,-0.008500904856264447,False,1051442.2057247926,793266.5017453003,326.0,-0.014081786667145125,-0.044869664329502866
360ONE,82,0,HOLD,-1.0130850076675415,-1.0224390029907227,-1.0341582298278809,-0.02953674747505185,False,1043259.5937863159,793266.5017453003,326.0,-0.021754472905964984,-0.044869664329502866
360ONE,83,0,HOLD,-1.05357825756073,-1.0607835054397583,-1.0543837547302246,-0.03263418669822973,False,1037522.0017453003,793266.5017453003,326.0,-0.02713450850194101,-0.044869664329502866
360ONE,84,0,HOLD,-1.0780128240585327,-1.089063048362732,-1.0914456844329834,-0.03007900722914461,False,1035973.5017453003,793266.5017453003,326.0,-0.02858650875933369,-0.044869664329502866
360ONE,85,0,HOLD,-1.0428727865219116,-1.066578984260559,-1.0575544834136963,-0.037054494253501054,False,1031523.5937863159,793266.5017453003,326.0,-0.03275910643567793,-0.044869664329502866
360ONE,86,0,HOLD,-1.0854674577713013,-1.1023788452148438,-1.093687891960144,-0.021847861451435434,False,1037244.9097042846,793266.5017453003,326.0,-0.02739433266395338,-0.044869664329502866
360ONE,87,0,HOLD,-1.049343466758728,-1.0715352296829224,-1.0662016868591309,-0.02066758207620078,False,1040782.0017453003,793266.5017453003,326.0,-0.02407766585479853,-0.044869664329502866
360ONE,88,0,HOLD,-1.0147292613983154,-1.0259121656417847,-1.0287591218948364,-0.024170517507029882,False,1040733.0937863159,793266.5017453003,326.0,-0.02412352595750041,-0.044869664329502866
360ONE,89,0,HOLD,-1.007617712020874,-1.0187939405441284,-1.0186518430709839,-0.0267229807384344,False,1039363.9097042846,793266.5017453003,326.0,-0.025407384943310764,-0.044869664329502866
360ONE,90,0,HOLD,-1.0000033378601074,-1.0039948225021362,-1.0073837041854858,-0.01939984006174449,False,1042526.0937863159,793266.5017453003,326.0,-0.022442262501572042,-0.044869664329502866
360ONE,91,0,HOLD,-0.9852238893508911,-0.9914512634277344,-0.9966530203819275,-0.00821937829355082,False,1050024.093786316,793266.5017453003,326.0,-0.015411524413144221,-0.044869664329502866
360ONE,92,1,BUY,-0.9259840846061707,-0.9245958924293518,-0.9332473874092102,-0.017310095438088445,False,1049019.5805864867,787747.7887163695,333.0,-0.016353438152056997,-0.044869664329502866
360ONE,93,0,HOLD,-0.9525598287582397,-0.9552916288375854,-0.960736870765686,-0.010119518530078147,False,1052316.2887163695,787747.7887163695,333.0,-0.013262174959846223,-0.044869664329502866
360ONE,94,0,HOLD,-0.9259805679321289,-0.9353777766227722,-0.9389464259147644,0.0011977599144335745,False,1059975.2887163695,787747.7887163695,333.0,-0.006080470102648591,-0.044869664329502866
360ONE,95,0,HOLD,-0.9133715629577637,-0.9134982824325562,-0.9163177013397217,-0.0021967433682477,False,1062039.892781311,787747.7887163695,333.0,-0.004144528459956376,-0.044869664329502866
360ONE,96,1,BUY,-0.8854114413261414,-0.8802962899208069,-0.8909891843795776,-0.005521286377831326,False,1061307.2887163695,787747.7887163695,333.0,-0.004831477953570741,-0.044869664329502866
360ONE,97,0,HOLD,-0.8698887228965759,-0.8751877546310425,-0.8804047703742981,-0.020888701506356522,False,1052765.8305864867,787747.7887163695,333.0,-0.012840647732775547,-0.044869664329502866
360ONE,98,0,HOLD,-0.9051065444946289,-0.912643313407898,-0.9129010438919067,-0.010263538163026394,False,1054131.142781311,787747.7887163695,333.0,-0.011560419345106106,-0.044869664329502866
360ONE,99,0,HOLD,-0.8783479332923889,-0.8915972709655762,-0.8956300616264343,-0.02311835807768468,False,1048003.9346514281,787747.7887163695,333.0,-0.01730579085410731,-0.044869664329502866
360ONE,100,0,HOLD,-0.9607934951782227,-0.9712979197502136,-0.9686620235443115,-0.02070774043692501,False,1046205.7468462524,787747.7887163695,333.0,-0.01899191882049776,-0.044869664329502866
360ONE,101,1,BUY,-0.9441533088684082,-0.9357638955116272,-0.9648653268814087,-0.01657869338943833,False,1047480.2142946166,785417.0101930541,336.0,-0.017796873897628223,-0.044869664329502866
360ONE,102,1,BUY,-0.9524679780006409,-0.9519347548484802,-0.9618272185325623,-0.043452672571527504,False,1033922.6019899291,785417.0101930541,336.0,-0.030509600120447993,-0.044869664329502866
360ONE,103,0,HOLD,-1.1080169677734375,-1.1364740133285522,-1.113189697265625,-0.01146849781810395,False,1043918.6019899291,785417.0101930541,336.0,-0.021136532911602512,-0.044869664329502866
360ONE,104,0,HOLD,-0.9666430950164795,-0.9689710140228271,-0.992919921875,-0.0069012300695835485,False,1051428.2142946166,785417.0101930541,336.0,-0.014094906176487572,-0.044869664329502866
360ONE,105,1,BUY,-0.9151025414466858,-0.9071630239486694,-0.940578043460846,-0.00892272418721788,False,1054166.601989929,785417.0101930541,336.0,-0.01152716989076933,-0.044869664329502866
360ONE,106,1,BUY,-0.9010781645774841,-0.9002658724784851,-0.9058887958526611,-0.016375688223002324,False,1051596.2142946166,785417.0101930541,336.0,-0.013937375635162438,-0.044869664329502866
360ONE,107,0,HOLD,-0.9127459526062012,-0.9135236144065857,-0.9383219480514526,-0.02120327120472914,False,1047749.0101930541,785417.0101930541,336.0,-0.017544828877468492,-0.044869664329502866
360ONE,108,0,HOLD,-0.9096296429634094,-0.9131823778152466,-0.9204097986221313,-0.011378059964276299,False,1051008.2142946166,785417.0101930541,336.0,-0.014488732529800407,-0.044869664329502866
360ONE,109,0,HOLD,-0.9018343687057495,-0.9076168537139893,-0.9291473031044006,-0.019757183911732437,False,1048219.4183961791,785417.0101930541,336.0,-0.017103735669837153,-0.044869664329502866
360ONE,110,0,HOLD,-0.9682430624961853,-0.9721322655677795,-0.9861619472503662,-0.004423453780475728,False,1054922.601989929,785417.0101930541,336.0,-0.010818282454806228,-0.044869664329502866
360ONE,111,0,HOLD,-0.9183036684989929,-0.9277356863021851,-0.9582335352897644,-0.005876422198403414,False,1057543.418396179,785417.0101930541,336.0,-0.008360790626292209,-0.044869664329502866
360ONE,112,1,BUY,-0.9253020286560059,-0.9025295972824097,-0.9391160607337952,0.013661850424932176,False,1071991.418396179,785417.0101930541,336.0,0.0,-0.044869664329502866
360ONE,113,1,BUY,-0.9245620965957642,-0.9050266146659851,-0.9403051137924194,-0.007303058841611632,False,1068077.010193054,785417.0101930541,336.0,-0.0036515294208058113,-0.044869664329502866
360ONE,114,2,SELL,-0.9476004242897034,-0.941047728061676,-0.9405526518821716,-0.005770569027806269,False,1066943.2915455932,813150.4989430541,303.0,-0.00470911125215768,-0.044869664329502866
360ONE,115,0,HOLD,-0.9346776604652405,-0.936316728591919,-0.9434248805046082,0.0014389574909618795,False,1070230.8526417846,813150.4989430541,303.0,-0.0016423319479819333,-0.044869664329502866
360ONE,116,0,HOLD,-0.9418116211891174,-0.9445217847824097,-0.9501459002494812,-0.008346703515547772,False,1066640.2915455932,813150.4989430541,303.0,-0.0049917627685787,-0.044869664329502866
360ONE,117,1,BUY,-0.9501922130584717,-0.9428982138633728,-0.9741653800010681,0.01567000869773505,False,1083354.5541914674,800588.9503096313,318.0,0.0,-0.044869664329502866
360ONE,118,1,BUY,-0.9679345488548279,-0.9578256011009216,-0.9998735785484314,0.013355738381326754,False,1097823.5541914674,800588.9503096313,318.0,0.0,-0.044869664329502866
360ONE,119,1,BUY,-0.9630180597305298,-0.9467798471450806,-0.9864560961723328,0.01316523390908686,False,1112276.658073303,800588.9503096313,318.0,0.0,-0.044869664329502866
360ONE,120,1,BUY,-0.9769015908241272,-0.9633781909942627,-0.9765680432319641,-0.004088385290059325,False,1110002.9503096314,800588.9503096313,318.0,-0.0020441926450296835,-0.044869664329502866
360ONE,121,0,HOLD,-0.9703356623649597,-0.9813297390937805,-0.9730977416038513,-0.013692230067864257,False,1103531.658073303,800588.9503096313,318.0,-0.007862252557873666,-0.044869664329502866
360ONE,122,1,BUY,-1.011175274848938,-1.011139988899231,-1.0112907886505127,-0.013315877826341431,False,1100510.658073303,800588.9503096313,318.0,-0.01057830344150275,-0.044869664329502866
360ONE,123,0,HOLD,-0.9884404540061951,-0.9967361092567444,-0.9929117560386658,-0.019689805698595277,False,1095470.3464277955,800588.9503096313,318.0,-0.015109830385742018,-0.044869664329502866
360ONE,124,0,HOLD,-1.0212633609771729,-1.0369672775268555,-1.0302435159683228,0.006439553632064679,False,1107363.5541914674,800588.9503096313,318.0,-0.0044171599270510925,-0.044869664329502866
360ONE,125,0,HOLD,-1.0056647062301636,-1.0170202255249023,-1.0231940746307373,0.004795718498892709,False,1112674.158073303,800588.9503096313,318.0,0.0,-0.044869664329502866
360ONE,126,2,SELL,-1.0374268293380737,-1.0533303022384644,-1.0317201614379883,0.003957773759387884,False,1117077.8706588745,830981.9276657104,287.0,0.0,-0.044869664329502866
360ONE,127,0,HOLD,-0.9817947149276733,-0.9889873266220093,-1.002015471458435,0.002916055000116158,False,1120335.3311691284,830981.9276657104,287.0,0.0,-0.044869664329502866
360ONE,128,1,BUY,-0.9478878974914551,-0.9423209428787231,-0.9503075480461121,-0.02023769077811694,False,1108998.8311691284,830981.9276657104,287.0,-0.010118845389058445,-0.044869664329502866
360ONE,129,0,HOLD,-1.0465792417526245,-1.052451252937317,-1.0490097999572754,-0.026674991648534093,False,1099771.7741622925,830981.9276657104,287.0,-0.01835482327008003,-0.044869664329502866
360ONE,130,0,HOLD,-1.0964035987854004,-1.1159113645553589,-1.1056538820266724,0.00794158852550391,False,1114365.7346725464,830981.9276657104,287.0,-0.0053284015334519935,-0.044869664329502866
360ONE,131,0,HOLD,-1.0553206205368042,-1.0780186653137207,-1.079238772392273,-0.008744644816191381,False,1112457.1776657104,830981.9276657104,287.0,-0.0070319602392586375,-0.044869664329502866
360ONE,132,0,HOLD,-1.0588990449905396,-1.0696243047714233,-1.0776042938232422,-0.005412341293991512,False,1113361.2346725464,830981.9276657104,287.0,-0.006225008086912869,-0.044869664329502866
360ONE,133,1,BUY,-1.0405265092849731,-1.0359219312667847,-1.082556962966919,-0.015373365822568565,False,1108252.6206588745,830981.9276657104,287.0,-0.01078490535297585,-0.044869664329502866
360ONE,134,0,HOLD,-1.0624363422393799,-1.0642133951187134,-1.0693475008010864,-0.00022454502430121082,False,1114136.1206588745,830981.9276657104,287.0,-0.005533352682705013,-0.044869664329502866
360ONE,135,0,HOLD,-1.0064599514007568,-1.01639723777771,-1.0218080282211304,0.0015053298019804882,False,1118068.0241622925,830981.9276657104,287.0,-0.00202377533204267,-0.044869664329502866
360ONE,136,0,HOLD,-1.0329607725143433,-1.0509848594665527,-1.0502383708953857,0.005364885567969102,False,1124066.3311691284,830981.9276657104,287.0,0.0,-0.044869664329502866
360ONE,137,1,BUY,-1.008561134338379,-1.0057414770126343,-1.0185229778289795,-0.011489535485479124,False,1117608.8311691284,830981.9276657104,287.0,-0.005744767742739549,-0.044869664329502866
360ONE,138,0,HOLD,-1.0126198530197144,-1.0237658023834229,-1.023850679397583,-0.006769010278581145,False,1117034.8311691284,830981.9276657104,287.0,-0.006255413764316398,-0.044869664329502866
360ONE,139,0,HOLD,-0.974911630153656,-0.979315996170044,-0.9832068681716919,0.01835766704065578,False,1137540.9846725464,830981.9276657104,287.0,0.0,-0.044869664329502866
360ONE,140,1,BUY,-0.9725021719932556,-0.9679983854293823,-1.000835657119751,0.008679078063879908,False,1147413.7916793823,830981.9276657104,287.0,0.0,-0.044869664329502866
360ONE,141,0,HOLD,-0.9526898860931396,-0.9569019675254822,-0.9851239323616028,0.0074412997838411155,False,1155952.0416793823,830981.9276657104,287.0,0.0,-0.044869664329502866
360ONE,142,1,BUY,-0.9515569806098938,-0.9413551092147827,-0.9786801338195801,-0.01646098914798191,False,1146437.9846725464,830981.9276657104,287.0,-0.008230494573990967,-0.044869664329502866
360ONE,143,1,BUY,-1.0536340475082397,-1.0277043581008911,-1.0454857349395752,-0.0295963845398996,False,1134140.0416793823,830981.9276657104,287.0,-0.018869294930532965,-0.044869664329502866
360ONE,144,0,HOLD,-1.0673118829727173,-1.0690333843231201,-1.0712538957595825,-0.038922740150723494,False,1122660.0241622925,830981.9276657104,287.0,-0.028800517942528796,-0.044869664329502866
360ONE,145,0,HOLD,-1.099537968635559,-1.1008872985839844,-1.1383527517318726,-0.039937204805770246,False,1116317.3311691284,830981.9276657104,287.0,-0.03428750422264239,-0.044869664329502866
360ONE,146,0,HOLD,-1.1909972429275513,-1.2149410247802734,-1.1987675428390503,-0.030749875365908022,False,1118326.3311691284,830981.9276657104,287.0,-0.03254954284746171,-0.044869664329502866
360ONE,147,0,HOLD,-1.171536922454834,-1.1812744140625,-1.2050938606262207,-0.017831327099604312,False,1126692.3706588745,830981.9276657104,287.0,-0.02531218421310886,-0.044869664329502866
