final_allocation_rank,symbol,trade_action,rebalance_direction,current_weight,final_weight,current_allocation_percent,final_allocation_percent,allocation_change_percent,portfolio_status,final_decision,q_hold,q_buy,q_sell,selected_q_value,agent2_rank,agent3_rank,agent3_score,risk_level,risk_decision
1,BHARATFORG,HOLD,BUY,0.1135562986081203,0.2124050458974027,11.35562986081203,21.24050458974027,9.88487472892823,ACTIVE,INCREASE_ALLOCATION,-1.180329203605652,-1.1844605207443235,-1.182900309562683,-1.180329203605652,9,2,0.593830361366272,LOW,WATCH
2,HBLENGINE,BUY,BUY,0.0852548547243128,0.1917143049545384,8.52548547243128,19.17143049545384,10.64594502302256,ACTIVE,INCREASE_ALLOCATION,-1.214816927909851,-1.1900211572647097,-1.195862889289856,-1.1900211572647097,4,9,0.4458310266335805,MEDIUM,ACCEPTABLE
3,CGCL,HOLD,BUY,0.0787813566235505,0.1482783577719474,7.87813566235505,14.827835777194739,6.94970011483968,ACTIVE,INCREASE_ALLOCATION,-1.1546837091445925,-1.183026909828186,-1.17999005317688,-1.1546837091445925,8,10,0.4119785696268082,HIGH,CAUTION
4,CREDITACC,HOLD,BUY,0.0959325810219138,0.1210681967464396,9.59325810219138,12.10681967464396,2.51356157245257,ACTIVE,INCREASE_ALLOCATION,-1.193009376525879,-1.200363039970398,-1.2002638578414917,-1.193009376525879,7,7,0.5016690395275751,MEDIUM,WATCH
5,360ONE,HOLD,BUY,0.0977671191844666,0.1046428878132329,9.77671191844666,10.46428878132329,0.68757686287662,ACTIVE,INCREASE_ALLOCATION,-1.145761489868164,-1.172850489616394,-1.1689388751983645,-1.145761489868164,10,6,0.5112625581026078,LOW,WATCH
6,MRPL,HOLD,SELL,0.1061292795696999,0.0983054649091975,10.61292795696999,9.830546490919751,-0.78238146605024,ACTIVE,REDUCE_ALLOCATION,-1.2065285444259644,-1.2268309593200684,-1.223768711090088,-1.2065285444259644,2,4,0.5549915699164072,MEDIUM,ACCEPTABLE
7,IDEA,HOLD,SELL,0.0856271735228331,0.0695730505573509,8.56271735228331,6.95730505573509,-1.6054122965482203,ACTIVE,REDUCE_ALLOCATION,-1.204584717750549,-1.2210414409637451,-1.220504641532898,-1.204584717750549,1,8,0.447778027455012,HIGH,CAUTION
8,HINDCOPPER,HOLD,SELL,0.1027912141446399,0.0540126913498905,10.27912141446399,5.40126913498905,-4.87785227947494,ACTIVE,REDUCE_ALLOCATION,-1.132917046546936,-1.1525009870529177,-1.16061532497406,-1.132917046546936,3,5,0.5375355184078217,MEDIUM,ACCEPTABLE
9,GVT&D,SELL,SELL,0.1115127863388179,0.0,11.151278633881791,0.0,-11.151278633881791,EXIT,EXIT_POSITION,-1.2216540575027466,-1.2156388759613037,-1.2062907218933103,-1.2062907218933103,6,3,0.5831440353393555,LOW,WATCH
9,HONASA,SELL,SELL,0.1226473362616447,0.0,12.264733626164471,0.0,-12.264733626164471,EXIT,EXIT_POSITION,-1.2362786531448364,-1.2284910678863523,-1.2135003805160522,-1.2135003805160522,5,1,0.6413709578911463,LOW,WATCH
